댓글	가성비	청결	맛	분위기	친절
요즘 마들젠에 카버샌 먹는 낙으로 살고 있는 1인 입니다:) 몇 달 전부터 후기로만 보다가 저번주에 첫 구매 성공했네요!! 원래 그 전 주에 가고 싶었지만 오픈 전에 대기 마감 될 줄 몰랐어요. ㅜ 분명 제가 눈팅만 할 때는 이정도는 아니였던 것 같은데 나날이 인기가 올라가는 걸 보고 이제 사먹을 때다 생각하고 구매했네요! 전 가는데 오래걸려 5시 일어나야 돼요 ㅜㅜ 2주를 그렇게 했는데 대기할만한 맛입니다!!  매 주 다른 신메뉴도 너무 맛있고요!  먼저 카버샌은 카라멜 맛 너무!!좋아요 조합도 최고고요. 사러 갈 때는 너무 힘들었는데 먹고나면 행복한 맛입니다. 에그타르트는 푸딩같아여. 고소하고 맛있는 우유푸딩이요! 여기는 빵도 빵이지만 크림맛집인듯합니다. 단맛을 바나나 옥수수 아몬드 다른데 맛있게 내요!	0	1	1	0	0
3주째 부지런히 움직히 구매했습니다!  어떻게 이렇게 맛있죠? 제가 딱 좋아하는 맛이예요! 에그타르트는 푸딩같고, 카버샌은 은은히 달면서 고소하고 고급져요 ㅜㅜ 초코바나나!!!! 크림 너무 맛있어요! 진짜 여긴 크림을 너무 맛있게 만느는것 같아요. ㅜ 이렇게 맛난 디저트 감사해요 ㅎㅎㅎㅎㅎ 1시간 걸리는 거리지만 갈만한 맛입니다! ㅜㅜ 	0	0	1	0	0
반년전부터 마들젠먹어볼까?고민하다가 드디어 마음먹고 포장했어요. 8시반에 갔더니 대기번호3번이였고 10시14분에 번호가 마감 되었다고 인스타게시물이 올라오더라고요. 번호표를 받고 시간맞춰오면 되는 시스템이라 편하고 좋았어요.  기존카버샌과 할로윈시즌귀요미모자카버샌, 호두생크림이 올라간 브라우니, 에그타르트, 헤이즐넛카라멜버터바를 구매했어요. 친절하고 신속꼼꼼하게 결제,포장해주셔서 좋았습니다! 반년전에 왜 안먹었는지 후회될 정도로 브라우니는 호두생크림이랑 조합이 찰떡이고 에그타르트도 달달촉촉든든하고 버터바도 달달바삭하니 다 좋았어요. 근데 카버샌이 1인당10개밖에 안되는 건 정말...말도 안되는 일이에요...너무 취향저격맛이라 한조각이 뱃속으로 들어갈때마다 눈물이 날것같아요..8ㅅ8그래서 담주에주문도전하려구요	0	1	1	0	1
신메뉴 꼭 먹고싶어 바로 갔습니다 !!  집가서 바로 입 속으로 넣었습니다. 고소함이 더 플러스 되는 맛이더라구요!! 한마디로 맛있다는 말입니다🥲🥲 원래 피스타치오 좋아해서 사실 더 향이 났으면 좋겠지만 처음 먹는사람도 무난히 먹을 수 있어요! 	0	1	1	1	1
우연한 계기로 알게된 마들젠! 어떤맛일까 너무 궁금해서 스토어팜 열기를 기다리며 알람맞춰놓고 결제까지갔는데 수량을 욕심낸탓인지 재고부족으로 늘 구매실패😱그러던 어느날 스토어팜을 잠시쉬어가신다는글에 너무나 속상했던 1인입니다. 그래서 결심했죠!  '그래! 매장가자!' 그래서 다녀왔습니다! 9시30분도착했는데 순번은 25번..(대체 1번은 몇시에오신거죠?🤭) 대기표에 번호와 시간까지 써주셔서 근처돌아다니다가 시간맞춰 매장방문했습니다! (몇시까지오면된다는 시간까지 써주시니 방문자입장에서 얼마나 마음이편해지던지요♡ 이런 세심함에 감동😍)종류별로사고 집으로 돌아와서 맛봤는데 왜 진작 매장방문안했을까 너무 후회스러웠어요! 브라우니는호두크림과 찰떡이고 카버샌드 말모말모❤에그타르트 살살녹고 버터바와푸딩도 완벽그잡채❤	0	1	1	0	1
카버샌 맛집 여기요… 바나나푸딩 맛집 여기요…!!!  고급진 맛 원하시면 바로 여깁니다 여러분 맛도리만 골라서 먹는 저인데 여기는 재방문 의사 100000%입니다! 빵순이들은 다 아는 그런거 있잖아요. 오래 기다려서 지쳤더라도 맛있는거 먹으면 사르르 풀리고 언제 또가지 생각하게 되는 그런거 마들젠이 그렇습니다 버터, 크래커, 캬라멜의 삼박자가 이게 바로 삼합인가 싶은 맛. 밀가루 먹으면 속 안좋아지는 저인데 카버샌 맛있어서 눈물 머금고 먹었어요. 카버샌 두개 먹고 아침 출근하면 그날 오전은 기분이 굉장히 좋아욬ㅋㅋ  바나나 푸딩은 투닥투닥 싸운 남자친구랑 먹으면 사르르 녹을 것 같은 맛이랄까 바나나도 많이 들어가있고 부드럽게 슉슉 들어가는 맛이에요 자연스럽게 크림과 원물의 조화를 너무 잘 구현하신 디저트🤎	0	0	1	0	1
언제나 뭘 먹어도 성공적인 마들젠  카라멜버터샌드는 버터랑 카라멜의 비율이 딱 적절해서 파사삭 쿠키를 한 입 물면 처음엔 달달한 카라멜이 들어오고 이어서 부드러운 버터가 느껴지면서 같이 녹아드는 맛!   바나나 푸딩은 진짜 바나나랑 커스터드가 찌인해요 딸바푸딩, 샤인머스캣 바나나 푸딩도 나오는데 뭘 먹어도 풍미가 꽉 차는 맛 💗  그리고 에그타르트도 너무 강추합니다 쌀로 만든 파이지에 높고 가득 찬 필링 여러개 사서 얼려두고 자연 해동해서 먹거나 아침에 전자레인지 돌려서 먹으면 그날 하루는 행복으로 시작합니다요.. 💗  너무 유명해져서 구매가 어렵지만 매주 줄 서게 만드는 맛!!!	1	1	1	0	1
9/3(토) 오프라인에서 구매했어요! 쿠키 오픈런은 처음이었습니다. 생버터를 싫어하지만 너무 유명해서 먹어보고싶었어요. 웬걸 쌀로 만들었다해서 기대 안했는데 식감이 너무 좋고 너무 달지도 느끼하지도 않아서 앉은자리에서 순삭합니다. 근데 저는 브라우니가 진짜 너무너무너무 맛있었어요. 카버샌보다 브라우니가 더 맛있었어요..💗 특히 위에 올려진 호두크림?은 따로 사고싶은데 방법없을까요? 베이글에 발라먹고싶어서 아껴먹었습니다..!! 예비시댁에도 가져다 드렸는데 똑같은 말씀을 하셨다고하네요! 에그타르트도 크기가 커서 느끼할 줄 알았는데 인생에타 찾음💛 사장님도 너무 친절하시고 구매도 일사천리로 진행되서 복잡함 따위 못느꼈어요! 카버샌 사러 갔다가 또 다른 디저트에 반하고 온 후기였습니다. 사장님 더 흥하세요❤️‍	0	1	1	0	1
종종 가던 맛집이였는데 이젠 큰 맘 먹고 가야하는 마들젠🥺 오랜만에 방문해 11:30분쯤 도착했는데 벌써 50명 정도의 대기 인원.. 바로 줄섰더니 조금 후에 대기 마감됐다고 하시곤 인스타에도 금세 올라온 대기 마감 공지!(감격🥳) 그러곤 오픈시간보다 일찍 오픈하셨어요!  저는 12:45분쯤 들어갔고, 다행히 카버샌이라도 득템할 수 있었어요!! 제가 다녀본 쌀베이커리 중 이렇게 깔끔한 맛, 식감 내는 곳은 마들젠뿐..! 카라멜도 마들젠 특유의 고급진 맛이 있어요. 파사삭한 쿠키, 향긋한 카라멜, 부드러운 우유버터크림 조화면 10개 그냥 순삭이에요.❣️ 그리고 여기 일반 에그타르트 맛집이라해도 무방한데.. 아쉽지만 다음엔 더 일찍 와야겠어요ㅎㅎ 아 서비스로 주신 콜드브루도 맛있었어요. 감사합니다!💕	0	1	2	0	1
대기표를 줘서 웨이팅하기에 무리가 없어요!! 시간 맞춰가니까 금방 살수있고 좋아요~~ 맛별로 사서 먹어봤는데!! 다 너무 맛있고~ 냉장고에 쟁여서 먹고 싶은  아이들이에요~~ 임신중인데~ 애기 낳기전에 맛있는 디저트를 먹게 되어서 좋았어요!! 막달이되어 또 먹으려면 큰맘 먹어야해서 아쉬울 정도로 맛있어요!!^^❤️	0	1	0	0	0
