댓글	가성비	청결	맛	분위기	친절
안국점보단 웨이팅이 덜하긴했는데... 오픈런 안했고 12시쯤 원격줄서기했는데 1시30~2시간은 대기있네요. 런던베이글은 쫄깃  쫀득쫀득 찰지고 맛있어요🥯🥯🥯 오늘은 메이플피칸크림치즈 사와서 발라먹으니 더 맛있네요.	0	0	0	1	1
런던베이글뮤지엄 도산점~~🥯 월요일 12시쫌 넘어서 도착했는데… 내앞 대기팀 84팀~~헐…웨이팅 실화냐…😱 웨이팅하면서 사진좀 찍으려했는데…해당순서 되기전엔 매장내로 아예 입장도 안되네요…ㅠㅠ 정확하게 1시간30분 웨이팅끝에 매장으로 입장했고, 포장픽업도 무조건 웨이팅해야 가능해요~ 2층 자리안내받고 1층으로 주문하러 내려왔는데… 주문할때도 빽빽이 줄서서 픽해야하니 뭘고를지 미리 마음의 준비를 하시면 좋을듯하구요~~ 스프링 어니언크림치즈,포테이토치즈,라떼,아아 주문~~ 무화과,프레첼,바질크림치즈는 포장했어요~~ 와~~베이글 맛은 말해모해~~넘 맛있~~😋 커피도 산미없이 찐하고 맛있어서 깜놀~~ 근데..1,2층 통틀어 화장실이 남녀공용 딱한칸이라서… 화장실 앞에 길디긴 줄이 안습…ㅠㅠ	0	0	2	0	0
목요일 11시45분 방문했고.. 포장 대기 101팀이 웨이팅중이었어요. 주위에 다른 곳 구경하고 있을 때 (50분후 알림톡) 톡이 왔어요. 영국 시골 가정집 인테리어 & 영국왕실 초상화 그림이 멋집니다. 품절되는 베이글이 있어서 첫 포장후 10분후에 다시 카페내에서 줄을 서서 구매했어요.(포테이토 베이글) 베이글이 밀도가 높고 상당히 묵직합니다. 포테이토 베이글은 아침 브런치로 추천♡  달지않고 아주 담백해요.  참께베이글 고소하고 ,무화과베이글은 무화과에만 단맛이 있어요.  피자베이글은 가장 자극적인 맛이고 할라피뇨로 인해 매운기가 있어요.  다른곳 베이글이랑 확실히 차이가 있습니다. (갓 나온 신선도, 원재료가 좋음) 직원분들 체계적으로 일을 잘하시고 친절하셔요.  크림치즈도 추천해 주셨네요.	0	0	0	1	1
월요일에 방문했는데도 웨이팅이 어마어마… 출발하면서 테이블링으로 대기 거는걸 추천합니다 베이글 너어무 맛있어요!하나도 안질기고…. 쫀득하고 직원분들도 친절하셔서 기다리긴 했지만 기분이 좋았습니닷 안국은 대기가 더 심하니 도산으로 오세요~^^	0	0	3	0	1
평일낮이었지만 금요일이라 그런지 대기가 엄청났어요  매장취식으로 3시간 반정도 후 입장할 수 있었는데 한번은 꼭 먹어볼만합니다 베이글이나 크림치즈 종류도 다양하고 포장해와 다음날 먹는데도 너무 맛있습니다	0	1	1	1	0
주말 8시전 방문, 대기 30팀 정도, 가게 주변에서 어슬렁 기다리는게 참 무료급식 기다리는 분위기라 현타옴..25분 경과후 입장, 선택하고 계산하고 포장하는 게 분업이 잘 되어 생각보단 빠르게 진행! 쪽파크림치즈 강추!!베이글도 맛은 좋아요~블루베리 베이글이 밀도높은 베이글이고 다른 종류는 부드러워서 맛은 좋은데 찐베이글 더쿠들한테는 호불호 있겠어요. 종류별로 담고 크림치즈 몇개 담으니 10만원 훌쩍 넘…	0	0	1	0	0
영국에 와있는 느낌 🇬🇧  멋진 인테리어 친절한 직원 분! 가격은 조금 비싸지만 요리라고 생각하고 먹으면 너무 훌륭한 한끼 식사! 물론 베이글 너무 맛있었어요 : ) gffg 계열 체인이 매장 운영을 정말 잘 하는듯!	0	0	1	2	1
평일 점심에도 웨이팅이 너무 많지만.. 그만큼 너무 맛있고 내부 인테리어도 너무 예뻐요 매장 도착전에 미리 테이블링으로 원격줄서기 하고 가서 20분쯤 줄서고 입장했어요 ㅜㅜ!  	0	0	0	2	0
베이글이 쫀득하고 부드러워 맛있어요. 지금껏 먹었던 기성품들하고는 다른 맛. 비주얼도 워낙 예쁘고 해서 만족스러운데 가격이 좀 있네요. 토마토 로제 수프는 살짝 매콤해서 아주 맛있었어요. 양도 많은 편.	0	0	1	2	0
남자친구가 사다줘서 먹었어요 빵이 엄청 촉촉하고 안에 새로운맛이었어요  세가지 먹어본거중에 사진속 깨묻은 크림빵이 굳!	0	0	1	0	0
모든 메뉴가 다 맛있었어요!  지난번에 포장해와서 먹었을 땐 이렇게 웨이팅 할 정도는 아닌데 싶었는데 매장에서 바로 먹으니 훠얼씬 더 맛있습니다 👍🏻	0	0	0	0	0
베이글은 맛있어요! 근데 수프는 그냥그랬어요. 테이블링으로 예약하고가면 안기다려도 돼서 좋아요~~ 바쁜데 직원분들 친절하세요	0	0	1	0	1
